(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
16;Thüringen;99;;1652367;1707726;1652367;1707726;1333615;1279720;1333615;1279720;10393;16639;9481;14809;1323222;1263081;1324134;1264911;131841;299024;115915;296446;272828;264026;246072;213414;36821;68185;56084;83220;28124;89008;37286;114283;512068;298971;510519;303233;;;;;209943;155618;200691;144693;25833;31190;20622;27151;;;;18973;;19932;;20189;;22882;;16013;;;;2501;;1313;;6291;;;7006;3566;;2715;;2456;;;;;;;;;;;;1357;;;;;;;;;1683;3875;1830;2570;;;;3400;;;;;;;;;;;;;;;3608;;96960;;124501;;;;;;;;;;7121;6342;;5155;
;
196;Neuwied;07;Christlich Demokratische Union Deutschlands;236097;238118;236097;238118;194327;181837;194327;181837;1937;2058;1227;1544;192390;179779;193100;180293;42315;54320;35679;54018;68501;57430;62297;48338;11919;16559;15674;18930;6858;15931;8488;20751;40363;16810;41996;17504;;;;;9691;5005;11694;5417;4345;8032;3234;5860;;;2373;2546;;2177;;2286;;2776;911;1746;;;;692;;;;701;1955;;1178;540;;;239;245;;;;;;;;;;;;153;;;;;;;;;;;52;31;;;;;;;;;;;;;;;;;;;299;;6443;;8986;;;;;;;;;;;739;;535;
197;Ahrweiler;07;Christlich Demokratische Union Deutschlands;191196;195109;191196;195109;159654;148466;159654;148466;1701;1861;965;1379;157953;146605;158689;147087;30537;44325;28429;42303;62012;50281;55289;41942;14413;15553;15725;17685;5282;12124;7563;17484;28335;10823;29076;11322;;;;;8224;3537;9069;3851;5584;6942;3170;4908;;;1769;2021;;1878;;1613;;;685;1208;;;;609;;;;673;2016;;1105;557;833;686;333;331;;;;;;;;;;;;116;;;;;;;;;;;33;26;;;;;;;;;;;;;;;;;717;;303;;;;6140;;;;;;;;;;;456;;438;
198;Koblenz;07;Christlich Demokratische Union Deutschlands;189619;193035;189619;193035;155945;147127;155945;147127;1653;1815;994;1224;154292;145312;154951;145903;37659;43416;30233;42817;55097;46073;48758;37958;15001;17980;18026;21007;4703;11179;7405;16371;24836;9753;25417;10426;;;;;9028;4054;11900;4804;5858;7028;2959;4928;;;1671;1818;;1758;;1497;;2354;803;1401;;;;598;;;;725;2110;694;1123;642;;614;208;319;;;;;;;;;;;;137;;;;;;;;;;;62;26;;;;;;;;;;;;;;;;;;;205;;;;6181;;;;;;;;;;;409;;429;
199;Mosel/Rhein-Hunsrück;07;Christlich Demokratische Union Deutschlands;168634;171102;168634;171102;142280;134717;142280;134717;2098;2348;1058;1455;140182;132369;141222;133262;27079;35570;25141;38015;53505;45364;49309;38664;10039;12833;10918;12230;7588;15664;7521;16664;27058;10646;27721;11061;;;;;6495;;7411;3725;6009;7609;3669;5820;;;1709;1845;;2334;;1770;;;685;1099;;;;237;;;;506;1279;1124;856;751;1130;976;412;374;;;;;;;;;;;;95;;;;;;;;;;;22;19;;;;;;;;;;;;;;;;;;;254;;;;5594;;;;;;;;;;;249;;387;
200;Kreuznach;07;Christlich Demokratische Union Deutschlands;179528;182380;179528;182380;146442;138109;146442;138109;1505;2008;991;1451;144937;136101;145451;136658;38085;44976;29494;44259;46766;39589;44074;33433;7764;9958;11570;12903;4714;9753;6425;15704;30689;12972;32452;13510;;;;;6352;4294;8583;4454;4407;7648;2712;4616;;;1816;2054;;1997;;1930;;1837;621;1182;;;;339;;;;497;1441;771;998;608;;1718;202;537;;;;;;;;;;;;115;;;;;;;;;;;69;30;;;;;;;;;;;;;;;;;;;181;;4719;;6254;;;;;;;;;;;588;;487;
201;Bitburg;07;Christlich Demokratische Union Deutschlands;161723;163493;161723;163493;134564;124449;134564;124449;1590;1852;950;1395;132974;122597;133614;123054;27098;33632;22634;34343;53458;46340;48896;37086;7362;8512;10070;11411;4154;9011;6041;13997;22265;7947;23936;8794;;;;;4894;2875;6622;3265;11825;10566;7030;8460;;;1482;1473;;1436;;1434;;1619;581;1038;;;;234;;;;364;1918;;870;409;;659;262;356;;;;;;;;;;;;80;;;;;;;;;;;16;12;;;;;;;;;;;;;;;;;;;192;;;;4982;;;;;;;;;;;0;;298;
202;Trier;07;–;187536;190530;187536;190530;156858;147171;156858;147171;1442;1738;931;1540;155416;145433;155927;145631;47052;47942;31155;44123;47841;40299;47886;34578;12834;18939;19025;22708;6151;10135;7266;16206;22101;8230;24103;9001;;;;;7774;5126;11944;5712;4127;7521;3192;5379;;;1717;2003;;1730;;1678;;2174;819;1507;;;;343;;;;538;1559;967;1430;859;619;657;312;363;;;;;;;;;;;;179;;;;;;;;;;;37;30;;;;;;;;;;;;;;;;;;;199;;5358;;6842;;;;;;;;;;;1713;;424;
203;Montabaur;07;Christlich Demokratische Union Deutschlands;209489;210816;209489;210816;174499;164165;174499;164165;2185;2172;1577;1454;172314;161993;172922;162711;40265;50975;31353;49346;61540;48607;56164;43125;10840;14176;14638;16832;5479;15101;7959;19021;35333;14090;36388;14565;;;;;8708;4483;10315;4690;5941;8954;3791;6432;4208;;2467;2424;;2384;;2100;;2887;823;1657;;;;539;;;;588;;;1150;504;;;214;223;;;;;;;;;;;;138;;;;;;;;;;;30;24;;;;;;;;;;;;;;;;;;;300;;;;7330;;;;;;;;;;;336;;503;
204;Mainz;07;–;251092;249630;251092;249630;214604;202670;214604;202670;1917;2669;1382;1382;212687;200001;213222;201288;50411;49878;39496;53889;57971;47153;56549;42659;40617;37319;44146;46183;8031;14408;10914;23178;21665;10360;23043;10833;;;;;19431;24863;23596;9418;3039;4751;2045;3605;;;1772;2025;;2093;;1979;1454;1841;973;1600;;;;1255;;1118;;970;4078;2133;2768;1741;1033;1444;648;1029;;;;;;;;;;486;;320;;;;;;;;;;;50;38;;;;;;;;;;;;;;;;;;;181;;4957;;7041;;;;;;;;;;;2154;;566;
205;Worms;07;Christlich Demokratische Union Deutschlands;211985;212943;211985;212943;178231;166636;178231;166636;1976;2491;1533;1814;176255;164145;176698;164822;39042;49748;33740;49656;62290;52827;50919;37548;13996;15949;18870;20799;5171;12966;8240;20095;35866;16043;38743;17033;;;;;8638;5070;11219;5068;3857;5762;2888;4749;;;2282;2612;;3134;;2302;;;789;1214;;;;627;;;;890;2392;1367;1523;926;;726;253;456;;;;;;;;;;;;186;;;;;;;;;;;37;35;;;;;;;;;;;;;;;;;;;262;;4401;;6933;;;;;;;;;;602;553;;626;
206;Ludwigshafen/Frankenthal;07;–;205998;210969;205998;210969;163106;154911;163106;154911;2081;2122;1444;1653;161025;152789;161662;153258;42212;50108;31416;45895;43626;38193;44478;33726;12367;17061;14377;18128;5736;13688;7095;18421;37119;17740;37872;18075;;;;;7794;4648;11028;4651;4618;7411;2871;4789;;;2194;2771;;1947;;1689;;;790;1308;;;;1275;;;;658;1481;;1028;747;;;180;226;;;;;;;;;;;;160;;;;;;;;;;157;45;68;;;;;;;;;;;;;;;;;640;;412;;5432;;7876;;;;;;;;;;;1836;;671;
207;Neustadt – Speyer;07;Christlich Demokratische Union Deutschlands;217120;219416;217120;219416;182171;173828;182171;173828;1700;2178;1241;1506;180471;171650;180930;172322;39588;48158;32815;47121;62618;51770;54948;41322;16908;20869;21329;23949;5580;14624;8796;21823;35239;17204;36881;17499;;;;;7117;4535;10071;4880;4902;9698;3506;6380;;;2260;2576;;2722;;2413;;;717;1232;;;;512;;;;577;2507;1268;1657;937;;;221;324;;;;;;;;;;;;178;;;;;;;;;;;28;26;;;;;;;;;;;;;;;;;472;;325;;5540;;7376;;;;;;;;;;;802;;573;
208;Kaiserslautern;07;Sozialdemokratische Partei Deutschlands;219832;224701;219832;224701;179200;169206;179200;169206;2318;2409;1557;1742;176882;166797;177643;167464;49462;56523;36500;54460;42591;35803;44231;33226;10099;14589;14624;17611;5137;11870;6973;17242;45159;20002;45952;20702;;;;;7397;6753;10770;6383;7385;12225;4695;8042;;3197;2649;3168;;2159;;2055;;2154;797;1641;;;;432;;;;695;1570;801;992;685;;;236;253;;;;;;;;;;;;171;;;;;;;;;;;56;36;;;;;;;;;;;;;;;;;453;;331;;7629;;8837;;;;;;;;;;;721;;662;
209;Pirmasens;07;Christlich Demokratische Union Deutschlands;167724;174093;167724;174093;139067;132470;139067;132470;1840;2004;1383;1747;137227;130466;137684;130723;28474;39711;23976;38261;45682;39236;41657;33507;6112;7891;8138;9877;4078;9895;5666;14374;34424;16512;37286;17178;;;;;4924;3678;6594;4207;4632;5990;2903;4935;3840;3271;2888;3325;;1654;;1584;;1999;636;1496;;;;221;;;;489;;466;607;425;;;150;154;;;;;;;;;;;;105;;;;;;;;;;;31;30;;;;;;;;;;;;;;;;;234;;249;;4827;;6903;;;;;;;;;;;163;;555;
210;Südpfalz;07;Christlich Demokratische Union Deutschlands;216108;217000;216108;217000;179904;171259;179904;171259;1717;1627;1327;1583;178187;169632;178577;169676;34273;47901;30705;47028;68122;47860;55080;39421;13802;19058;19800;22882;4686;17011;7684;21120;35589;16658;37867;17702;;;;;7114;5222;10928;5598;4097;6388;3363;5493;3060;3019;2485;3098;;2388;;2389;;1923;840;1515;;;;665;;;;659;2083;829;1560;779;;582;276;471;;;;;;;;;;;;151;;;;;;;;;;;68;38;;;;;;;;;;;;;;;;;;;231;;5361;;7690;;;;;;;;;;;793;;667;
07;Rheinland-Pfalz;99;;3013681;3053335;3013681;3053335;2500852;2357021;2500852;2357021;27660;31352;18560;22869;2473192;2325669;2482292;2334152;573552;697183;462766;685534;831620;686825;760535;576533;204073;247246;256930;293135;83348;193360;114036;272451;476041;205790;498733;215205;;;;;123581;84143;161744;76123;80626;116525;52028;84396;11108;9487;31534;35759;;31791;;28719;1454;21564;11470;20844;;;;8578;;1118;;9530;26389;10420;18845;11110;3615;8062;4146;5661;;;;;;;;;;486;;2284;;;;;;;;;;157;636;469;;;;;;;;;;;;;;;;;2516;;3924;;54667;;104965;;;;;;;;;;602;11512;;7821;
;
211;Altötting;09;Christlich-Soziale Union in Bayern e.V.;167997;168656;167997;168656;137711;129441;137711;129441;743;880;457;681;136968;128561;137254;128760;11870;14620;11493;18309;;;;;10399;11145;10713;12248;4037;9245;4887;13298;32226;14220;33187;13940;60164;55693;54393;44060;5867;3155;6212;2769;8638;13049;7504;14857;;;1057;1396;1580;3509;800;3003;;;501;872;;;;334;;;;389;;;550;196;2187;2509;839;1302;;;;;;;;165;;;88;94;;;;55;;1416;340;881;;;28;19;;;;;;;;;;;;;;;;;;;114;;;;4548;;;;;;;;;;;0;;573;
212;Erding – Ebersberg;09;Christlich-Soziale Union in Bayern e.V.;201032;200569;201032;200569;175170;168337;175170;168337;727;1132;439;734;174443;167205;174731;167603;17609;24205;17630;25693;;;;;23383;24840;22730;24620;6323;13226;8831;20228;27275;11448;28849;12228;80087;70656;70010;55992;6856;3355;8824;3648;7059;12157;7524;13865;;;1418;1900;;2958;600;2857;;;695;1279;;;;481;;;;534;2012;;1212;412;2472;2306;1023;1342;;;;;;;;173;;;129;151;;;;92;;2054;375;1350;;;31;22;;;;;;;;;;;;;;;;;;;170;;;;4680;;;;;;;;;;1367;0;;736;
213;Freising;09;Christlich-Soziale Union in Bayern e.V.;238346;237250;238346;237250;205009;194002;205009;194002;942;1237;579;883;204067;192765;204430;193119;23357;25950;20234;29085;;;;;25718;24058;23759;26055;5803;14687;8898;21738;36965;18042;38981;17515;88023;69689;78633;62930;8630;3898;10646;4456;13209;23223;11034;18779;;;1657;1881;2362;4795;948;3388;;2165;868;1385;;;;781;;;;554;;631;1193;543;;3039;1034;1449;;;;;;;;218;;;177;185;;;;86;;1678;367;1068;;;37;19;;;;;;;;;;;;;;;;;;;135;;;;5829;;;;;;;;;;;910;;1004;
214;Fürstenfeldbruck;09;Christlich-Soziale Union in Bayern e.V.;230186;231905;230186;231905;199419;192779;199419;192779;822;1489;523;927;198597;191290;198896;191852;29795;36831;23134;31141;;;;;23886;25363;27778;30537;8748;16029;10015;23046;27997;13056;29818;13209;84648;72721;78928;63944;7312;3216;10605;4192;8829;13085;6926;12325;2870;;1634;2388;;5075;654;4102;;2384;785;1274;;;;631;;;;683;2541;1408;1703;863;1971;2122;924;1359;;;;;;;;230;;;151;178;;;;90;;;327;795;;;25;16;;;;;;;;;;;;;;;;;;;150;;;;5339;;;;;;;;;;;0;;849;
215;Ingolstadt;09;Christlich-Soziale Union in Bayern e.V.;235847;238384;235847;238384;196036;187395;196036;187395;956;1167;704;856;195080;186228;195332;186539;21555;25954;19812;31592;;;;;14531;18182;18024;20833;3711;10877;7350;19797;39220;17806;41850;18694;91837;83663;78647;64577;7730;4648;9258;4450;9906;15515;9142;15580;2001;;1411;1652;;2969;652;2890;1385;2315;863;1295;;;;643;;;;533;1575;;1033;362;1629;2438;826;1231;;;;;;;;216;;;113;142;;;;98;;1861;301;1111;;;31;31;;;;;;;;;;;;;;;;;;;150;;;;5869;;;;;;;;;;;0;;812;
216;München-Nord;09;Christlich-Soziale Union in Bayern e.V.;223690;223683;223690;223683;185755;175551;185755;175551;1017;880;523;649;184738;174671;185232;174902;36593;38172;28582;33241;;;;;44697;42319;42281;44861;8536;19477;12394;25953;16685;7591;17688;8250;59872;44854;53494;39986;12121;6216;16785;7044;2700;3969;2195;4396;;2072;1186;1504;;2540;401;2216;;1562;779;1157;;;;1603;;;;488;3010;2410;2295;1555;;1862;563;1143;;;;;;;;141;;;169;218;;;;60;;563;150;409;;60;47;35;;;;;;;;;;;;;;41;;;524;;168;;;;6055;;;;;;;;;;;963;;642;
217;München-Ost;09;Christlich-Soziale Union in Bayern e.V.;243727;242591;243727;242591;204779;193958;204779;193958;1063;906;588;687;203716;193052;204191;193271;31514;38243;30928;36106;;;;;49343;42367;44955;47647;8250;18104;12795;27112;18438;8066;19672;8978;73929;61159;63472;49286;12464;4907;17133;7080;3648;5041;2488;5052;;2501;1324;1762;;2432;436;2450;2046;1714;840;1248;;2526;;1724;;;;654;4084;1630;2280;1252;;1930;740;1289;;;;;;;;148;;;182;201;;152;;100;;579;208;473;;;46;35;;;;;;;;;;;;;;51;;;;;133;;;;6559;;;;;;;;;;;1650;;674;
218;München-Süd;09;–;214876;214606;214876;214606;181033;172970;181033;172970;629;841;444;599;180404;172129;180589;172371;26427;33924;28005;33117;;;;;53695;47256;43483;45562;7163;16437;10046;21495;15864;7641;16773;7910;54803;46059;51845;40585;9819;6236;16846;7669;2357;4464;2086;4724;1641;2610;1324;1711;;2668;392;2388;1167;2060;804;1299;;;;1000;;;;608;2778;;2268;1497;;2532;652;1306;;;;;;;;145;;;173;172;;;;83;;;153;357;102;109;53;44;;;;;;;;;;;;;;133;;;;;104;;4588;;5582;;;;;;;;;;;0;;699;
219;München-West/Mitte;09;Christlich-Soziale Union in Bayern e.V.;246546;242252;246546;242252;210770;198272;210770;198272;2754;955;447;647;208016;197317;210323;197625;32990;39182;32280;37513;;;;;60196;53174;52687;54303;10324;19153;12529;26401;;7594;18815;8403;72171;53311;60481;45540;12671;6975;18658;8219;6361;5058;2459;5036;3687;3096;1233;1796;;3059;406;2655;2248;1804;859;1403;;;;1161;;;;614;4395;2144;2529;1571;;1557;744;1353;;;;;;;;158;;;171;196;;;;83;;;161;394;;;45;34;;;;;;;;;;;;;;72;;;1671;;165;;;;6101;;;;;;;;;;1302;1138;;792;
220;München-Land;09;Christlich-Soziale Union in Bayern e.V.;233438;234912;233438;234912;205557;199333;205557;199333;798;1041;464;723;204759;198292;205093;198610;27304;30237;26648;34189;;;;;40043;40475;35335;36817;8785;18180;12981;28696;22919;9816;24069;10489;88197;77523;80084;64669;8428;3685;10311;4449;6077;7791;4279;7612;3006;2555;1666;2054;;2880;520;2805;;1928;771;1254;;;;808;;;;659;;;1822;910;;2086;766;1332;;;;;;;;173;;;161;196;;;;87;;1136;240;719;;;25;29;;;;;;;;;;;;;;;;;;;147;;;;5268;;;;;;;;;;;0;;663;
221;Rosenheim;09;Christlich-Soziale Union in Bayern e.V.;238400;237390;238400;237390;201569;191410;201569;191410;954;1346;658;849;200615;190064;200911;190561;17905;22869;19265;27406;;;;;25185;26183;25018;25962;5724;17682;9362;23049;36811;15764;39370;16570;82005;68670;75528;59126;9147;4091;10130;4607;16019;16869;9469;18261;2706;;1710;1882;2341;9069;1249;6075;;2466;817;1385;;;;488;;;;566;1891;;1001;486;;3698;1000;1633;;;;;;;;198;350;;173;162;;;;129;;2584;479;1737;;;31;17;;;;;;;;;;;;;;119;;;531;;292;;;;6017;;;;;;;;;;;0;;822;
222;Bad Tölz-Wolfratshausen – Miesbach;09;Christlich-Soziale Union in Bayern e.V.;165905;166662;165905;166662;141866;136106;141866;136106;716;1765;468;750;141150;134341;141398;135356;10901;15428;12829;18276;;;;;20820;20829;17584;18138;4754;11636;7507;17048;23293;;24280;10835;65482;55501;59231;46304;4695;2643;5717;2908;7225;14146;6309;12531;;;930;1265;;5140;512;2996;;1949;539;918;;;;323;;;;398;1107;;766;308;1271;2077;597;1076;;;;;;;;129;;;62;100;;;;49;1602;4992;547;1197;;;21;26;;;;;;;;;;;;;;;;;;;104;;;;3863;;;;;;;;;;;0;;531;
223;Starnberg – Landsberg am Lech;09;Christlich-Soziale Union in Bayern e.V.;214841;214828;214841;214828;188348;180978;188348;180978;855;1158;634;714;187493;179820;187714;180264;24165;23985;21598;28584;;;;;31338;35809;31552;32663;6665;16585;10962;23893;24163;10715;25281;11066;80382;68617;72605;57906;6441;3701;9709;4446;6061;9035;5146;9026;2431;;1453;1775;1521;5365;774;4505;1504;2333;882;1299;;;;442;;;;600;2119;982;1264;688;;1972;757;1293;;;;;;;;199;;;131;128;;;;118;703;;429;847;;;25;12;;;;;;;;;;;;;;;;;;;131;;;;5015;;;;;;;;;;;721;;774;
224;Traunstein;09;Christlich-Soziale Union in Bayern e.V.;208678;208815;208678;208815;172572;163876;172572;163876;818;1282;548;817;171754;162594;172024;163059;20845;27644;16925;25190;;;;;14985;17219;17677;19985;3270;12268;5891;15747;30995;12671;34619;14027;80507;59555;66829;51421;6885;3537;7515;3943;10689;18572;11217;21369;;;1450;1619;1796;4115;976;3699;;1857;668;1121;;;;243;;;;413;;;662;265;1782;2372;1001;1417;;;;;;;;149;;;86;112;;;;135;;2160;441;1448;;;28;18;;;;;;;;;;;;;;;;;;;134;;;;5905;;;;;;;;;;;624;;738;
225;Weilheim;09;Christlich-Soziale Union in Bayern e.V.;168223;168473;168223;168473;143715;138039;143715;138039;801;1444;388;879;142914;136595;143327;137160;13488;19682;13888;19927;;;;;18129;16300;17098;18397;6356;8553;6760;14311;22082;9686;24240;10873;65407;57179;59685;48178;5698;2718;6870;3124;8023;10100;6333;11462;;;1012;1316;;4301;587;3717;;;667;905;;;;296;;;;375;1400;500;692;339;2331;4205;963;1737;;;;;;;;136;;;82;83;;;;85;;2405;301;1229;;;15;15;;;;;;;;;;;;;;;;;;;118;;;;4016;;;;;;;;;;;966;;655;
226;Deggendorf;09;Christlich-Soziale Union in Bayern e.V.;165283;166186;165283;166186;135617;127193;135617;127193;709;691;381;549;134908;126502;135236;126644;12155;19527;10912;19873;;;;;6512;6890;6856;8516;5187;6325;4283;10778;36248;17432;39532;17911;58446;47267;52052;42154;3068;1895;4179;2301;11373;19718;10574;18206;;;764;1059;;1870;294;1599;;905;279;646;;;;175;;459;;333;821;;399;100;;1144;508;750;;;;;;;;90;;;47;63;;;;48;1098;2660;464;1516;;;14;12;;;;;;;;;;;;;;;;;;;116;;;;3963;;;;;;;;;;;410;;514;
227;Landshut;09;Christlich-Soziale Union in Bayern e.V.;246199;246854;246199;246854;208264;195589;208264;195589;874;1639;633;823;207390;193950;207631;194766;18819;22468;19652;30931;;;;;17136;21811;18059;20087;6437;22774;7728;20204;42148;19184;46439;19973;71014;70685;75251;64383;7564;3955;9600;4186;38336;20072;19279;23747;2091;3615;1567;2257;;2796;603;2737;;;692;1060;;;;458;;;;559;1071;;832;290;1895;2888;1082;1425;;;;;;;;209;;;127;129;;;;99;879;2241;464;1237;;;33;17;;;;;;;;;;;;;;;;;;;168;;;;6055;;;;;;;;;;;1461;;778;
228;Passau;09;Christlich-Soziale Union in Bayern e.V.;176118;177563;176118;177563;144127;136625;144127;136625;597;1145;406;573;143530;135480;143721;136052;20120;28341;13904;23892;;;;;7425;12098;9821;12645;3072;10513;4706;12782;33776;16215;36665;16023;58538;41530;55447;44215;4172;2681;5692;3093;9199;17180;9154;16475;;;873;1233;;1567;300;1485;;1235;355;673;;;;136;;;;351;799;;488;138;2625;3876;1016;1326;;;;;;;;131;;244;71;134;;;;76;;;241;750;;;8;10;;;;;;;;;;;;;;;;;;;85;;3804;;4895;;;;;;;;;;;0;;484;
229;Rottal-Inn;09;Christlich-Soziale Union in Bayern e.V.;172567;173632;172567;173632;142729;133885;142729;133885;663;1438;407;639;142066;132447;142322;133246;9947;15794;10899;19108;;;;;7688;10188;7841;9495;2625;10210;4272;12904;32882;16808;37105;16384;49581;46493;54707;45687;4166;1912;4990;2487;32668;22158;14997;19910;;;821;1228;;2385;368;1764;;1106;378;675;;;;183;;;;300;898;;457;156;1611;2647;870;1157;;;;;;;;115;;;66;56;;;;47;;2746;313;1044;;;15;12;;;;;;;;;;;;;;;;;;;79;;;;4144;;;;;;;;;;;0;;534;
230;Straubing;09;Christlich-Soziale Union in Bayern e.V.;172562;173772;172562;173772;141572;132955;141572;132955;629;877;454;712;140943;132078;141118;132243;11133;16312;11321;19938;;;;;7241;8613;7466;8964;2715;6895;4279;11603;36671;16794;39113;17402;65291;58487;55427;46742;4394;1936;4934;2468;11139;15115;11127;17869;;;883;1214;;1503;314;1397;;1506;368;892;;570;;275;;;;250;;;355;123;1877;2467;896;1271;;;;;;;;104;;;53;70;;;;41;;1294;297;958;;;17;6;;;;;;;;;;;;;;;;;482;;144;;;;4124;;;;;;;;;;;586;;656;
231;Amberg;09;Christlich-Soziale Union in Bayern e.V.;213946;216071;213946;216071;181998;173297;181998;173297;865;1300;670;939;181133;171997;181328;172358;19705;27476;19333;31547;;;;;12177;13908;13961;16191;4699;10213;5968;15067;38359;17822;40019;17958;80626;69278;72724;60430;7316;4158;7977;4095;12883;20855;11310;16332;;;1323;1938;1609;2902;784;2917;;;580;991;;;;253;;;;755;1403;;810;275;1746;3247;795;1298;;;;;;;;221;;;107;121;;;;101;;;337;872;;;33;20;;;;;;;;;;;;;;;;;610;;212;;;;5055;;;;;;;;;;;2138;;976;
232;Regensburg;09;Christlich-Soziale Union in Bayern e.V.;250692;248192;250692;248192;212425;198937;212425;198937;757;1225;567;762;211668;197712;211858;198175;27602;32850;23589;34563;;;;;27691;30333;28292;32094;5231;13754;7406;18773;37931;16557;39743;17343;80980;69842;75587;61187;9721;6023;14778;6798;11195;17906;10440;16618;2039;;1405;1884;;2567;526;2526;;2734;726;1485;;;;335;;;;528;2170;;1665;412;1654;2927;856;1419;;;;;;;;178;;;147;196;;;;85;;1745;232;963;;;32;21;;;;;;;;;;;;;;;;;319;;206;;5135;;6228;;;;;;;;;;;474;;767;
233;Schwandorf;09;Christlich-Soziale Union in Bayern e.V.;220942;222424;220942;222424;185064;174957;185064;174957;915;1202;557;812;184149;173755;184507;174145;25536;39615;17112;31209;;;;;7512;7934;9172;11179;3426;7341;4927;12650;49700;23142;51974;23508;77716;60924;72443;59430;4913;3043;6052;3394;13593;27381;14477;25114;;;1061;1494;;1846;509;1538;;;423;782;;;;161;;;;368;;;483;181;1233;1747;681;1034;;;;;;;;174;;;79;98;;;;91;;;336;877;;;29;10;;;;;;;;;;;;;;;;;520;;206;;;;4543;;;;;;;;;;;782;;853;
234;Weiden;09;Christlich-Soziale Union in Bayern e.V.;162689;165807;162689;165807;136797;132247;136797;132247;653;823;435;891;136144;131424;136362;131356;16294;29573;15931;29461;;;;;6624;6633;7926;9170;4126;6303;4169;9601;31351;13523;33124;14898;59268;50575;55094;46451;5590;2315;5367;2830;9673;9306;8215;12067;;;896;1249;;1458;449;1574;;;347;651;;;;192;;;;345;;;417;148;787;860;418;612;;;;;;;;151;;;61;87;;;;70;;771;306;719;;;21;6;;;;;;;;;;;;;;;;;;;107;;;;3514;;;;;;;;;;2431;10107;;1074;
235;Bamberg;09;Christlich-Soziale Union in Bayern e.V.;179277;182586;179277;182586;155528;148660;155528;148660;671;865;474;592;154857;147795;155054;148068;22569;28123;17554;25698;;;;;20762;22728;19474;21898;4709;9821;6095;14336;28887;13279;29977;14284;61044;54726;57363;49463;7914;3625;10111;4676;6174;8708;5462;9184;;;1166;1499;;2361;500;2093;;1627;560;1111;;;;319;;;;514;1789;726;1307;575;1009;1287;459;742;;;;;;;;211;;;121;173;;;;105;;491;173;381;;179;49;50;;;;;;;;;;;;;;;;;;;117;;;;4566;;;;;;;;;;;114;;756;
236;Bayreuth;09;Christlich-Soziale Union in Bayern e.V.;158660;162430;158660;162430;134080;129136;134080;129136;614;806;399;606;133466;128330;133681;128530;19068;24840;16404;26584;;;;;11000;14064;13155;15647;3728;9182;4987;12020;25068;10777;26682;11636;59366;54465;51467;43768;6113;2577;7605;3294;6741;7754;5969;8857;;;1043;1306;984;2028;473;1642;;1709;441;988;;;;241;;;;368;1398;;845;321;;934;314;516;;;;;;;;166;;;95;131;;;;142;;;112;269;;;22;13;;;;;;;;;;;;;;;;;;;94;;;;3973;;;;;;;;;;;0;;621;
237;Coburg;09;Christlich-Soziale Union in Bayern e.V.;153392;156571;153392;156571;128802;123864;128802;123864;627;921;495;704;128175;122943;128307;123160;18425;32056;18401;31087;;;;;10942;10581;9603;11459;2489;6369;4135;10683;26821;11878;28512;12836;53726;44890;47709;39343;5018;2337;6965;3118;6943;9235;5071;7524;;;1181;1509;;2002;387;1869;;1872;496;1144;;;;256;;;;343;;;705;162;973;1418;450;673;;;;;;;;167;;;103;122;;;;109;;222;120;188;;83;33;43;;;;;;;;;;;;;;;;;;;122;;2838;;4314;;;;;;;;;;;0;;525;
